comuna,station_id,day,avg_pm25,num_hourly_obs
Pudahuel,D30,2020-08-01,62.166666666666664,24
Pudahuel,D30,2020-08-02,51.416666666666664,24
Pudahuel,D30,2020-08-08,58.291666666666664,24
Pudahuel,D30,2020-08-16,58.458333333333336,24
Pudahuel,D30,2020-08-21,57.625,24
Pudahuel,D30,2020-08-22,59.125,24
Pudahuel,D30,2021-05-13,56.25,24
Quilicura,D31,2021-05-13,60.0,24
Santiago,D13,2021-05-13,62.583333333333336,24
Pudahuel,D30,2021-05-14,61.375,24
Puente Alto,D15,2021-05-14,61.458333333333336,24
Quilicura,D31,2021-05-14,65.33333333333333,24
Santiago,D13,2021-05-14,61.291666666666664,24
Las Condes,D14,2021-05-15,59.041666666666664,24
Pudahuel,D30,2021-05-15,79.16666666666667,24
Puente Alto,D15,2021-05-15,75.33333333333333,24
Quilicura,D31,2021-05-15,78.54166666666667,24
Santiago,D13,2021-05-15,74.08333333333333,24
Pudahuel,D30,2021-05-16,105.95833333333333,24
Puente Alto,D15,2021-05-16,78.08333333333333,24
Quilicura,D31,2021-05-16,98.375,24
Santiago,D13,2021-05-16,91.5,24
Pudahuel,D30,2021-05-17,71.125,24
Quilicura,D31,2021-05-17,68.66666666666667,24
Santiago,D13,2021-05-17,54.583333333333336,24
Quilicura,D31,2021-05-18,52.833333333333336,24
Pudahuel,D30,2021-05-19,53.25,24
Pudahuel,D30,2021-05-23,69.54166666666667,24
Pudahuel,D30,2021-05-26,70.125,24
Quilicura,D31,2021-05-26,59.166666666666664,24
Santiago,D13,2021-05-26,54.583333333333336,24
Pudahuel,D30,2021-05-27,62.25,24
Pudahuel,D30,2021-05-30,53.083333333333336,24
Quilicura,D31,2021-05-30,61.166666666666664,24
Pudahuel,D30,2021-06-08,50.958333333333336,24
Pudahuel,D30,2021-06-11,54.125,24
Quilicura,D31,2021-06-11,53.041666666666664,24
Pudahuel,D30,2021-06-12,61.916666666666664,24
Pudahuel,D30,2021-06-14,53.208333333333336,24
Pudahuel,D30,2021-06-19,80.33333333333333,24
Puente Alto,D15,2021-06-19,61.875,24
Quilicura,D31,2021-06-19,66.70833333333333,24
Santiago,D13,2021-06-19,67.41666666666667,24
Pudahuel,D30,2021-06-20,101.91666666666667,24
Quilicura,D31,2021-06-20,78.45833333333333,24
Santiago,D13,2021-06-20,77.91666666666667,24
Pudahuel,D30,2021-06-21,81.375,24
Quilicura,D31,2021-06-21,60.458333333333336,24
Santiago,D13,2021-06-21,58.125,24
Pudahuel,D30,2021-06-27,74.625,24
Pudahuel,D30,2021-06-28,105.5,24
Quilicura,D31,2021-06-28,50.5,24
Pudahuel,D30,2021-06-29,85.78260869565217,23
Quilicura,D31,2021-06-29,59.583333333333336,24
Pudahuel,D30,2021-06-30,85.91666666666667,24
Quilicura,D31,2021-06-30,81.25,24
Pudahuel,D30,2021-07-01,61.333333333333336,24
Quilicura,D31,2021-07-01,64.5909090909091,22
Santiago,D13,2021-07-01,56.5,24
Pudahuel,D30,2021-07-02,61.208333333333336,24
Puente Alto,D15,2021-07-02,54.666666666666664,24
Quilicura,D31,2021-07-02,53.875,24
Pudahuel,D30,2021-07-03,97.5,24
Puente Alto,D15,2021-07-03,58.75,24
Quilicura,D31,2021-07-03,83.58333333333333,24
Santiago,D13,2021-07-03,63.0,24
Pudahuel,D30,2021-07-04,95.45833333333333,24
Puente Alto,D15,2021-07-04,56.708333333333336,24
Quilicura,D31,2021-07-04,81.5,24
Santiago,D13,2021-07-04,76.25,24
Pudahuel,D30,2021-07-05,81.70833333333333,24
Puente Alto,D15,2021-07-05,54.458333333333336,24
Quilicura,D31,2021-07-05,69.08333333333333,24
Santiago,D13,2021-07-05,53.916666666666664,24
Pudahuel,D30,2021-07-08,54.458333333333336,24
Pudahuel,D30,2021-07-10,107.33333333333333,24
Puente Alto,D15,2021-07-10,55.833333333333336,24
Quilicura,D31,2021-07-10,71.375,24
Santiago,D13,2021-07-10,73.08333333333333,24
Pudahuel,D30,2021-07-11,126.83333333333333,24
Puente Alto,D15,2021-07-11,54.791666666666664,24
Quilicura,D31,2021-07-11,64.16666666666667,24
Santiago,D13,2021-07-11,51.458333333333336,24
Quilicura,D31,2021-07-12,53.875,24
Las Condes,D14,2021-07-13,52.791666666666664,24
Pudahuel,D30,2021-07-13,66.25,24
Quilicura,D31,2021-07-13,61.45,20
Santiago,D13,2021-07-13,56.333333333333336,24
Las Condes,D14,2021-07-14,65.08333333333333,24
Pudahuel,D30,2021-07-14,74.875,24
