FECHA (YYMMDD);HORA (HHMM);;
180205;0500;192,688;
180205;0600;182,835;
180205;0700;185,665;
180205;0800;201,991;
180205;0900;205,243;
180205;1000;194,714;
180205;1100;206,71;
180205;1200;206,34;
180205;1300;207,102;
180205;1400;199,733;
180205;1500;200,743;
180205;1600;202,387;
180205;1700;194,259;
180205;1800;188,342;
180205;1900;179,219;
180205;2000;177,066;
180205;2100;168,307;
180205;2200;169,259;
180205;2300;194,114;
180206;0000;216,688;
180206;0100;186,748;
180206;0200;187,967;
180206;0300;179,596;
180206;0400;185,806;
180206;0500;184,146;
180206;0600;181,294;
180206;0700;188,843;
180206;0800;168,753;
180206;0900;208,92;
180206;1000;191,057;
180206;1100;195,299;
180206;1200;201,827;
180206;1300;196,738;
180206;1400;205,134;
180206;1500;207,844;
180206;1600;211,174;
180206;1700;206,434;
180206;1800;198,963;
180206;1900;210,827;
180206;2000;184,483;
180206;2100;177,635;
180206;2200;184,979;
180206;2300;189,459;
180207;0000;187,234;
180207;0100;193,519;
180207;0200;190,019;
180207;0300;194,772;
180207;0400;192,899;
180207;0500;187,51;
180207;0600;173,638;
180207;0700;126,588;
180207;0800;233,007;
180207;0900;217,722;
180207;1000;217,71;
180207;1100;207,613;
180207;1200;200,911;
180207;1300;204,574;
180207;1400;213,043;
180207;1500;230,789;
180207;1600;225,669;
180207;1700;205,698;
180207;1800;192,985;
180207;1900;187,1;
180207;2000;190,113;
180207;2100;176,244;
180207;2200;188,021;
180207;2300;186,435;
180208;0000;200,335;
180208;0100;196,26;
180208;0200;215,504;
180208;0300;206,666;
180208;0400;154,065;
180208;0500;225,633;
180208;0600;187,543;
180208;0700;90,5571;
180208;0800;222,681;
180208;0900;303,22;
180208;1000;250,887;
180208;1100;203,14;
180208;1200;209,308;
180208;1300;208,855;
180208;1400;219,756;
180208;1500;231,563;
180208;1600;227,973;
180208;1700;221,309;
180208;1800;205,965;
180208;1900;193,958;
180208;2000;184,064;
180208;2100;182,01;
180208;2200;178,051;
180208;2300;157,429;
180209;0000;188,791;
180209;0100;190,774;
180209;0200;181,28;
180209;0300;235,42;
180209;0400;62,8589;
180209;0500;217,645;
180209;0600;195,32;
180209;0700;174,4;
180209;0800;262,787;
180209;0900;352,19;
180209;1000;213,458;
180209;1100;197,699;
180209;1200;213,088;
180209;1300;204,442;
180209;1400;203,814;
180209;1500;208,921;
180209;1600;205,739;
180209;1700;229,273;
180209;1800;230,82;
180209;1900;218,483;
180209;2000;191,404;
180209;2100;204,986;
180209;2200;211,584;
180209;2300;205,639;
180210;0000;208,147;
180210;0100;225,198;
180210;0200;224,087;
180210;0300;224,041;
180210;0400;223,821;
180210;0500;180,037;
180210;0600;15,4492;
180210;0700;112,86;
180210;0800;311,074;
180210;0900;270,138;
180210;1000;209,334;
180210;1100;207,118;
180210;1200;195,352;
180210;1300;200,24;
180210;1400;220,434;
180210;1500;213,529;
180210;1600;210,652;
180210;1700;199,021;
180210;1800;205,903;
180210;1900;191,068;
180210;2000;183,11;
180210;2100;177,281;
180210;2200;189,251;
180210;2300;185,262;
180211;0000;204,994;
180211;0100;213,782;
180211;0200;217,051;
180211;0300;221,483;
180211;0400;347,243;
180211;0500;328,952;
180211;0600;40,2784;
180211;0700;359,981;
180211;0800;300,604;
180211;0900;210,741;
180211;1000;197,03;
180211;1100;201,864;
180211;1200;202,922;
180211;1300;208,462;
180211;1400;208,395;
180211;1500;197,519;
180211;1600;201,096;
180211;1700;224,496;
180211;1800;223,79;
180211;1900;207,295;
180211;2000;173,97;
180211;2100;165,344;
180211;2200;179,124;
180211;2300;181,095;
180212;0000;226,552;
180212;0100;294,923;
180212;0200;348,758;
180212;0300;71,3813;
180212;0400;260,704;
180212;0500;352,973;
180212;0600;115,427;
180212;0700;330,545;
180212;0800;318,153;
180212;0900;334,473;
180212;1000;11,7981;
180212;1100;208,855;
180212;1200;204,02;
180212;1300;207,702;
180212;1400;198,684;
180212;1500;199,697;
180212;1600;226,641;
180212;1700;217,904;
180212;1800;207,171;
180212;1900;193,421;
180212;2000;176,11;
180212;2100;167,334;
180212;2200;188,211;
180212;2300;211,003;
180213;0000;185,942;
180213;0100;106,775;
180213;0200;306,222;
180213;0300;24,0905;
180213;0400;344,529;
180213;0500;327,983;
180213;0600;313,112;
180213;0700;313,314;
180213;0800;226,709;
180213;0900;207,627;
180213;1000;202,938;
180213;1100;210,361;
180213;1200;207,228;
180213;1300;200,052;
180213;1400;205,124;
180213;1500;200,039;
180213;1600;201,52;
180213;1700;199,006;
180213;1800;197,409;
180213;1900;189,898;
180213;2000;181,854;
180213;2100;178,86;
180213;2200;186,275;
180213;2300;189,113;
180214;0000;189,144;
180214;0100;202,773;
180214;0200;186,584;
180214;0300;187,387;
180214;0400;190,857;
180214;0500;185,47;
180214;0600;194,911;
180214;0700;201,186;
180214;0800;201,214;
180214;0900;196,208;
180214;1000;198,792;
180214;1100;205,163;
180214;1200;204,214;
180214;1300;196,44;
180214;1400;201,192;
180214;1500;200,326;
180214;1600;199,928;
180214;1700;203,563;
180214;1800;201,104;
180214;1900;191,02;
180214;2000;184,647;
180214;2100;178,717;
180214;2200;182,474;
180214;2300;185,187;
180215;0000;188,877;
180215;0100;208,563;
180215;0200;196,238;
180215;0300;204,634;
180215;0400;181,665;
180215;0500;199,504;
180215;0600;202,435;
180215;0700;175,387;
180215;0800;187,163;
180215;0900;206,068;
180215;1000;207,273;
180215;1100;208,552;
180215;1200;203,239;
180215;1300;207,867;
180215;1400;202,989;
180215;1500;208,489;
180215;1600;203,81;
180215;1700;204,154;
180215;1800;193,027;
180215;1900;197,305;
180215;2000;186,99;
180215;2100;181,181;
180215;2200;175,327;
180215;2300;195,987;
180216;0000;201,522;
180216;0100;207,73;
180216;0200;191,984;
180216;0300;172,645;
180216;0400;192,225;
180216;0500;204,481;
180216;0600;18,9473;
180216;0700;269,764;
180216;0800;157,626;
180216;0900;205,288;
180216;1000;201,435;
180216;1100;197,007;
180216;1200;198,071;
180216;1300;200,663;
180216;1400;203,907;
180216;1500;211,014;
180216;1600;199,971;
180216;1700;217,106;
180216;1800;200,96;
180216;1900;181,207;
180216;2000;178,531;
180216;2100;184,059;
180216;2200;177,33;
180216;2300;153,168;
180217;0000;202,443;
180217;0100;204,413;
180217;0200;190,02;
180217;0300;213,326;
180217;0400;173,601;
180217;0500;194,804;
180217;0600;266,132;
180217;0700;333,49;
180217;0800;274,838;
180217;0900;286,537;
180217;1000;235,933;
180217;1100;210,756;
180217;1200;186,678;
180217;1300;193,102;
180217;1400;210,124;
180217;1500;231,047;
180217;1600;223,802;
180217;1700;218,083;
180217;1800;210,441;
180217;1900;201,789;
180217;2000;172,407;
180217;2100;177,116;
180217;2200;185,062;
180217;2300;189,478;
180218;0000;194,898;
180218;0100;196,699;
180218;0200;200,858;
180218;0300;177,544;
180218;0400;181,348;
180218;0500;211,236;
180218;0600;81,9435;
180218;0700;301,348;
180218;0800;352,748;
180218;0900;311,253;
180218;1000;225,142;
180218;1100;197,28;
180218;1200;205,749;
180218;1300;207,146;
180218;1400;194,514;
180218;1500;203,063;
180218;1600;208,33;
180218;1700;224,514;
180218;1800;221,248;
180218;1900;201,87;
180218;2000;178,956;
180218;2100;169,139;
180218;2200;183,145;
180218;2300;179,308;
180219;0000;176,91;
180219;0100;195,13;
180219;0200;203,439;
180219;0300;197,042;
180219;0400;182,112;
180219;0500;164,371;
180219;0600;140,881;
180219;0700;202,086;
180219;0800;118,673;
180219;0900;202,401;
180219;1000;206,711;
180219;1100;200,327;
180219;1200;201,067;
180219;1300;210,702;
180219;1400;202,684;
180219;1500;205,449;
180219;1600;217,527;
180219;1700;213,035;
180219;1800;194,491;
180219;1900;179,746;
180219;2000;183,28;
180219;2100;170,451;
180219;2200;169,285;
180219;2300;211,689;
180220;0000;205,599;
180220;0100;240,316;
180220;0200;200,281;
180220;0300;202,605;
180220;0400;166,928;
180220;0500;195,237;
180220;0600;216,919;
180220;0700;217,035;
180220;0800;158,725;
180220;0900;87,049;
180220;1000;98,3351;
180220;1100;161,593;
180220;1200;213,092;
